phi_deg,x_boundary,y_boundary,x_query,y_query,sig_tt,sig_nn,sig_nt,sig_tt_eff
187,0.12022361545076,-0.00365608030215443,0.120483463425622,-0.00362417498265948,3.39931648797964,0.0573289685364952,-0.00587480552957307,3.39931648797964
187.25,0.120239851509609,-0.00378596907407489,0.120499557798128,-0.00375293026121425,3.3959140202465,0.0571327584340498,-0.00729731698982244,3.3959140202465
187.5,0.120256654158786,-0.00391578576660154,0.12051621381653,-0.00388161408938658,3.39241314430599,0.0568955488070896,-0.00882368217768692,3.39241314430599
187.75,0.120274023078394,-0.00404552790821167,0.12053343116372,-0.00401022401722187,3.38881629349396,0.0566149774875411,-0.0104557726342933,3.38881629349396
188,0.120291957937753,-0.00417519302880197,0.120551209511906,-0.00413875759617251,3.38512594462554,0.056288641480793,-0.0121954178954072,3.38512594462554
188.25,0.12031045839541,-0.00430477865973537,0.120569548522614,-0.00426721237914439,3.3813446173431,0.0559140976163687,-0.0140444047669919,3.3813446173431
188.5,0.120329524099142,-0.00443428233388832,0.120588447846694,-0.00439558592054363,3.37747487345306,0.0554888632096384,-0.0160044766102626,3.37747487345306
188.75,0.120349154685967,-0.00456370158569749,0.120607907124332,-0.00452387577632304,3.37351931625179,0.0550104167344331,-0.0180773326363737,3.37351931625179
189,0.120369349782146,-0.00469303395120692,0.12062792598505,-0.0046520795040287,3.36853089279293,0.054541912733423,-0.0172508032198398,3.36853089279293
189.25,0.120390109003193,-0.00482227696811478,0.120648504047718,-0.00478019466284644,3.36273206438701,0.0541314490501729,-0.0144608815623654,3.36273206438701
189.5,0.120411431953883,-0.00495142817582032,0.120669640920561,-0.00490821881364828,3.3567321461948,0.0537529114508776,-0.0117016525086624,3.3567321461948
189.75,0.120433318228258,-0.00508048511547074,0.120691336201161,-0.00503614951903897,3.35053145043095,0.0534061091574879,-0.0089764091334723,3.35053145043095
190,0.120455767409634,-0.00520944533000791,0.120713589476472,-0.00516398434340227,3.34413035413238,0.0530907897880051,-0.00628844278741235,3.34413035413238
190.25,0.120478779070611,-0.00533830636421525,0.120736400322825,-0.00529172085294739,3.33752929914677,0.0528066393656419,-0.00364104207357062,3.33752929914677
190.5,0.120502352773081,-0.00546706576476441,0.120759768305932,-0.00541935661575531,3.33072879210566,0.0525532823432175,-0.00103749182416109,3.33072879210566
190.75,0.120526488068235,-0.00559572108026204,0.120783692980902,-0.00554688920182513,3.32372940438252,0.0523302816426805,0.00151892792253132,3.32372940438252
191,0.12055118449657,-0.00572426986129634,0.120808173892244,-0.00567431618312019,3.31653177203547,0.0521371387097831,0.00402494294470955,3.31653177203547
191.25,0.120576441587903,-0.00585270966048384,0.120833210573875,-0.00580163513361448,3.30913659573477,0.0519732935839496,0.00647728585891354,3.30913659573477
191.5,0.120602258861375,-0.0059810380325159,0.120858802549134,-0.00592884362933869,3.30154464067525,0.051838124983242,0.00887269714093754,3.30154464067525
191.75,0.120628635825462,-0.00610925253420532,0.120884949330786,-0.00605593924842648,3.29375673647335,0.051730950404506,0.0112079261456063,3.29375673647335
192,0.120655571977986,-0.00623735072453277,0.120911650421035,-0.0061829195711604,3.28577377704917,0.0516510262385795,0.0134797321251948,3.28577377704917
192.25,0.12068306680612,-0.00636533016469338,0.12093890531153,-0.00630978218001818,3.27759672049315,0.0515975479006663,0.0156848852462744,3.27759672049315
192.5,0.120711119786402,-0.00649318841814309,0.120966713483377,-0.00643652465971861,3.26922658891791,0.0515696499757046,0.0178201676047781,3.26922658891791
192.75,0.120739730384745,-0.00662092305064503,0.120995074407148,-0.00656314459726755,3.26066446829464,0.0515664063788625,0.0198823742390606,3.26066446829464
193,0.120768898056443,-0.00674853163031595,0.121023987542894,-0.00668963958200395,3.25191150827467,0.051586830531002,0.0218683141407524,3.25191150827467
193.25,0.120798622246187,-0.00687601172767242,0.121053452340148,-0.0068160072056456,3.24296892199583,0.0516298755491889,0.0237748112631795,3.24296892199583
193.5,0.12082890238807,-0.00700336091567717,0.121083468237944,-0.00694224506233515,3.23383798587387,0.051694434452103,0.0255987055271568,3.23383798587387
193.75,0.120859737905602,-0.00713057676978519,0.121114034664823,-0.00706835074868571,3.22452003937887,0.0517793403804263,0.0273368538239186,3.22452003937887
194,0.12089112821172,-0.00725765686799002,0.121145151038843,-0.00719432186382682,3.21501648479669,0.0518833668320853,0.0289861310149967,3.21501648479669
194.25,0.120923072708797,-0.00738459879086978,0.121176816767595,-0.00732015600945004,3.2053287869755,0.0520052279123617,0.0305434309288184,3.2053287869755
194.5,0.120955570788657,-0.00751140012163325,0.121209031248207,-0.00744585078985465,3.19545847305755,0.0521435785987632,0.0320056673538267,3.19545847305755
194.75,0.120988621832582,-0.00763805844616582,0.121241793867363,-0.00757140381199315,3.18540713219598,0.0522970150206888,0.0333697750279017,3.18540713219598
195,0.121022225211328,-0.00776457135307561,0.12127510400131,-0.00769681268551701,3.17517641525701,0.0524640747537666,0.0346327106238818,3.17517641525701
195.25,0.121056380285136,-0.00789093643373925,0.12130896101587,-0.00782207502282208,3.1647680345073,0.0526432371288495,0.0357914537309727,3.1647680345073
195.5,0.121091086403741,-0.0080171512823477,0.121343364266456,-0.00794718843909398,3.15418376328677,0.0528329235555928,0.0368430078318363,3.15418376328677
195.75,0.121126342906391,-0.00814321349595222,0.121378313098078,-0.00807215055235362,3.14342543566676,0.0530314978605726,0.0377844012751543,3.14342543566676
196,0.12116214912185,-0.00826912067450997,0.121413806845362,-0.0081969589835025,3.13249494609368,0.053237266639861,0.0386126882434586,3.13249494609368
196.25,0.121198504368422,-0.00839487042092976,0.121449844832557,-0.00832161135636801,3.12139424901818,0.0534484796260254,0.0393249497160207,3.12139424901818
196.5,0.121235407953954,-0.00852046034111767,0.121486426373552,-0.00844610529774862,3.11012535850999,0.0536633300694315,0.0399182944266039,3.11012535850999
196.75,0.121272859175856,-0.00864588804402268,0.121523550771888,-0.00857043843745917,3.0986903478583,0.0538799551338518,0.0403898598158612,3.0986903478583
197,0.121310857321109,-0.00877115114168209,0.121561217320769,-0.00869460840837588,3.08709134915808,0.0540964363062302,0.0407368129781922,3.08709134915808
197.25,0.121349401666284,-0.00889624724926713,0.121599425303079,-0.00881861284648153,3.07533055288203,0.05431079982058,0.0409563516028446,3.07533055288203
197.5,0.121388491477553,-0.00902117398512819,0.121638173991393,-0.00894244939091032,3.06341020743857,0.0545210170959223,0.0410457049090621,3.06341020743857
197.75,0.121428126010702,-0.00914592897084031,0.121677462647991,-0.00906611568399296,3.05133261871576,0.0547250051881651,0.0410021345750888,3.05133261871576
198,0.121468304511145,-0.00927050983124843,0.121717290524874,-0.00918960937130154,3.03910014961125,0.0549206272558725,0.040822935660813,3.03910014961125
198.25,0.121509026213944,-0.00939491419451249,0.121757656863777,-0.00931292810169419,3.02671521954855,0.0551056930397904,0.040505437523878,3.02671521954855
198.5,0.121550290343814,-0.00951913969215276,0.121798560896182,-0.00943606952736009,3.01418030397928,0.0552779593561001,0.0400470047290339,3.01418030397928
198.75,0.121592096115147,-0.00964318395909483,0.121840001843337,-0.00955903130386398,3.00149793387203,0.0554351306032394,0.0394450379505681,3.00149793387203
199,0.12163444273202,-0.0097670446337147,0.121881978916265,-0.00968181109019092,2.98867069518749,0.0555748592822529,0.0386969748675896,2.98867069518749
